LIMIT_BAL,AGE,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
30321,25,1,1,0,0,0,0,0,-1,2878,10746,3858,26866,21162,11267,1281,0,1140,8765,496,4886,0
30235,62,2,1,1,-1,0,0,1,-1,15025,17409,12942,20897,11007,13390,9152,2079,407,6318,6278,0,0
75142,56,2,1,-1,0,0,0,0,0,15376,31016,49510,52398,23291,21065,3264,6234,28086,20427,3371,625,0
67332,44,1,2,0,0,2,0,0,-1,47806,5442,8702,27498,25908,39174,8585,4275,3140,7980,296,2766,0
46850,44,1,2,-1,-1,0,0,0,0,28622,9118,15249,23228,8474,20180,4040,1247,3594,0,1393,0,0
23802,67,2,1,0,0,-1,-1,-1,-1,15479,7181,8633,6262,8115,10010,0,0,82,3924,2485,532,0
21794,25,2,1,-1,0,0,0,-1,-1,5952,12340,15647,10135,14288,10434,1431,576,1599,1467,1477,6415,0
44116,58,2,2,0,-1,0,0,0,0,8903,16366,14137,519,13605,22340,1257,5467,4188,0,11628,0,0
247867,31,2,1,0,-1,-1,0,0,-1,14751,96090,131026,168040,232198,57127,2602,0,27636,71267,29170,2146,0
77082,26,2,1,0,0,-1,6,3,0,46634,21762,11997,24471,25298,27014,12718,8729,2174,10352,7499,7772,1
23627,49,1,1,-1,0,0,0,0,0,6642,13076,15227,1999,8020,8989,2738,2502,8431,66,2995,3807,0
86316,73,2,1,-1,0,0,0,0,-1,33881,10884,40916,59674,17365,64032,10571,0,1941,0,5615,26160,0
37397,60,1,2,0,-1,0,-1,0,-1,14184,7850,16166,6314,6863,11926,5134,925,2787,513,4334,3135,0
48830,62,2,2,0,0,0,0,0,0,21232,13274,39536,18417,35680,14754,0,6217,0,1601,0,8764,0
42846,59,1,1,0,-1,0,-1,-1,-1,24593,12048,11847,9751,12061,14916,11272,6126,2121,6347,7743,1623,0
346166,63,1,2,-1,-1,-1,0,-1,-1,53989,165410,23684,248655,203877,217713,18531,60147,13987,106504,146327,154731,0
19785,48,2,1,-1,0,0,0,0,1,7256,13058,14994,2030,3615,6625,4089,4918,2078,238,0,1462,0
62999,27,2,2,0,-1,0,-1,0,-1,21045,6937,25917,23206,40168,31471,7295,0,3057,3394,21512,8084,0
28331,66,2,1,-1,0,0,0,-1,-1,11585,14456,6741,7038,20718,17875,5810,4912,2347,1077,2735,4528,0
88526,45,2,1,5,6,-1,-1,0,-1,59649,4730,8337,42704,72611,35112,11165,0,4232,16179,0,22757,0
43394,48,3,2,-1,0,-1,-1,3,0,30087,33380,20454,3297,23643,34186,0,7894,6563,861,762,10481,0
93616,41,3,2,0,4,2,0,1,1,68276,11288,20150,43464,21364,35275,19273,384,7286,23045,0,21254,0
60950,30,3,2,-1,-1,-1,6,4,-1,21971,47544,49742,24212,43331,30813,11927,9067,31708,5516,22652,10408,0
28146,71,2,2,-1,0,-1,0,-1,0,6625,4498,8223,11284,7812,6055,1014,1725,4579,2685,2677,383,0
505327,63,2,2,-1,0,0,0,-1,-1,59490,350977,207105,155529,62229,188622,13443,0,65612,0,36061,87969,0
76446,55,2,2,1,0,-1,0,0,0,34961,36738,32572,32552,28780,45570,0,16910,16336,4521,0,13547,0
31554,42,2,1,0,-1,-1,-1,4,0,8666,17196,21623,17328,11011,13932,691,1826,1766,1814,3485,956,0
80894,65,1,2,0,0,0,0,-1,0,41005,49964,15145,49942,33765,33206,2106,9679,5101,20497,0,3212,0
81199,50,2,2,0,-1,0,0,0,0,31656,44997,23483,57863,29814,62194,14580,2188,0,0,0,22968,0
110272,44,1,2,-1,-1,-1,0,-1,-1,34475,51821,47298,48124,22757,4491,2262,5176,18538,11722,13410,1448,0
102057,45,1,2,0,0,4,-1,-1,-1,67998,20679,55233,63107,51034,75374,0,16391,33310,7260,21234,11621,0
74347,33,3,2,5,2,-1,-1,0,5,8337,28668,49788,46050,21322,37358,1128,3755,15556,7800,8250,10255,1
137449,25,1,1,-1,-1,0,-1,-1,0,33907,54362,75809,43811,14768,29850,2249,5139,8727,0,2664,2992,0
24883,50,2,1,-1,-1,0,0,-1,0,18326,15481,921,10916,1886,4194,1131,11669,226,2711,690,231,0
264724,68,2,2,3,0,0,-1,0,-1,89140,165504,95537,113182,140241,102662,4835,19569,10640,27251,2322,0,0
331566,24,1,1,0,0,-1,-1,-1,-1,142921,104953,143461,139495,119394,159738,46195,40953,48261,5682,49862,44793,0
65127,67,3,2,-1,0,0,-1,-1,2,4532,38949,6437,31462,17495,22624,1084,9352,1835,7869,2477,4754,0
70786,65,1,1,0,0,-1,1,4,4,31387,51398,15862,44473,27068,6548,0,8151,1622,12663,410,0,0
35883,35,3,1,0,0,2,6,-1,0,6614,8537,15402,9755,19545,13324,2348,2312,1779,5062,1119,3972,0
37834,55,2,2,0,-1,0,0,-1,-1,20321,19719,3372,11805,8486,2192,2913,0,0,0,2951,0,0
58745,29,1,1,0,0,0,0,0,0,23406,9780,20162,23145,16212,33128,1438,1086,6262,5460,1947,13558,0
11932,61,1,2,5,-1,0,0,-1,5,3811,6021,8070,6032,10616,4243,536,0,1693,3133,0,1483,1
233440,58,1,1,-1,0,0,0,-1,-1,12355,77572,140368,87129,124642,163672,0,12206,16439,15571,30158,17238,0
125738,40,2,2,2,4,0,-1,-1,-1,9427,61931,19314,16767,48885,80348,901,22293,5837,1439,12361,48755,1
17946,24,1,2,-1,0,-1,0,-1,-1,12805,6077,4495,7839,14836,6999,1710,1791,0,3223,0,3096,0
69934,73,4,2,0,2,1,0,-1,-1,51710,13515,57713,26452,38601,18175,15915,351,2749,4305,18110,4020,0
68206,45,1,1,0,0,-1,-1,-1,-1,6928,37859,33225,40531,21800,20657,1928,3109,1351,8025,585,1064,0
29263,69,3,1,0,5,-1,6,4,1,17859,5066,4664,14900,10629,11226,3872,0,1013,3387,6792,3993,1
101797,57,1,2,0,-1,-1,0,-1,1,36464,91741,43477,76684,47096,7131,2405,16301,13704,18735,20856,0,0
10000,63,4,2,-1,-1,6,-1,0,-1,1618,3342,2867,5280,0,3740,713,352,435,1815,0,645,0
68014,62,1,2,5,3,-1,0,0,0,28758,5834,10544,50783,17773,35823,9062,1528,3704,29437,4453,0,0
52239,31,2,2,-1,0,0,0,0,0,17294,22515,9584,24076,39961,28125,6933,10996,6777,8058,21160,1818,0
52279,40,2,2,-1,0,0,-1,0,-1,5753,19324,12087,15786,14143,7948,0,5714,1927,7101,513,1798,0
22982,46,1,2,-1,-1,0,-1,2,0,9178,19601,6080,8656,14264,11273,697,7261,0,0,1657,777,0
70089,47,2,2,-1,0,0,3,4,5,2019,10113,30032,17195,58009,15786,53,2442,0,4860,14046,2293,0
160223,23,1,2,-1,0,-1,0,0,-1,70915,16781,117396,64677,107849,14056,13998,368,45098,49752,0,0,0
67905,50,2,2,-1,6,-1,-1,-1,-1,35478,48656,14147,32681,23075,16646,22917,3117,5298,0,2356,8617,0
40808,29,2,2,0,0,0,0,0,-1,18042,8066,30875,22058,7333,18329,2802,725,12858,3579,3466,2023,0
421355,61,2,2,-1,0,-1,0,0,-1,90382,143096,82035,102723,48226,280698,35610,38236,22784,24611,13982,80214,0
32755,57,1,1,-1,2,0,-1,5,0,27376,28027,14450,11783,13524,15251,8590,330,10293,3820,3479,3123,1
127418,70,1,1,0,-1,0,0,-1,0,44386,82952,84405,53706,91358,77588,1914,15223,41467,0,23050,16252,0
83373,61,1,2,-1,0,-1,0,0,-1,36729,20027,17736,10945,19988,35143,7253,2673,4079,2335,11184,15380,0
343287,40,1,2,0,0,-1,-1,-1,0,224719,235669,60289,120445,97030,116025,26039,16677,19854,36513,18227,36526,0
93514,73,1,1,0,0,-1,0,0,0,15639,35838,53415,35462,31416,45620,3116,11769,20886,23314,10369,7418,0
55506,43,3,2,3,0,2,3,-1,0,11831,27985,38530,27281,20470,11432,2572,0,8223,622,7779,4942,1
73465,38,2,2,-1,-1,-1,2,-1,-1,10790,62221,16652,31166,35741,48941,2275,54214,2125,6585,2427,28672,0
21022,69,2,2,-1,0,-1,0,-1,-1,10868,6375,3200,7426,20806,4934,7624,1911,1333,6215,0,1264,0
24462,41,2,2,0,0,0,-1,-1,0,6541,15274,6408,19599,5748,6849,850,2369,350,13116,1226,2502,0
55046,25,1,1,0,0,0,0,0,0,1835,33167,19034,19141,31086,17849,252,0,1663,8639,7798,7095,0
105440,46,2,2,0,0,-1,-1,0,0,45897,25028,46687,38767,39332,26453,12842,3670,0,0,7185,0,0
82697,63,1,1,-1,0,-1,-1,0,0,41419,35405,43300,62779,40341,37873,0,4240,22194,7349,18996,15332,0
58167,31,1,2,-1,2,0,-1,-1,-1,32184,14693,28749,37944,41493,22641,8924,11073,0,0,7286,7697,0
146937,45,2,1,0,-1,0,-1,0,2,48160,58691,98963,4152,28705,38545,9665,25779,10175,1165,16476,5279,0
10037,28,2,2,-1,-1,0,-1,0,0,5344,2402,5089,4985,10037,4820,1506,296,1814,493,4823,349,0
12169,58,4,2,1,0,3,5,0,-1,2964,6428,992,2276,291,3818,888,1876,0,660,107,1910,1
10000,46,1,2,0,-1,0,0,0,0,2202,4082,5423,1150,0,1491,217,0,238,198,0,70,0
128881,38,2,2,-1,0,0,0,-1,-1,42407,62019,9030,68525,41653,58280,3879,8818,990,19586,20452,0,0
